Title,Link,Store,Price
Be Quiet BL040 Pure Wings 2 140mm PWM Case Fan - Black $12.89,/f/14039084-be-quiet-bl040-pure-wings-2-140mm-pwm-case-fan-black-12-89?src=catpagev2,Amazon,$12.89
Cyclonis Password Manager for Unlimited Devices: Lifetime Subscription $5,/f/14055221-cyclonis-password-manager-for-unlimited-devices-lifetime-subscription-5?src=catpagev2,StackSocial,$5
MSI Radeon RX 580 8GT 8GB Video Card @Newegg (AR/AC)  @Newegg $140,/f/14045318-msi-radeon-rx-580-8gt-8gb-video-card-newegg-ar-ac-newegg-140?src=catpagev2,Newegg,$140
Metro Redux Bundle $7.19 @Fanatical,/f/14043446-metro-redux-bundle-7-19-fanatical?src=catpagev2,,$7.19
Razer Huntsman Tournament Optical Keyboard + Razer Viper Wired Optical Mouse $130,/f/14049188-razer-huntsman-tournament-optical-keyboard-razer-viper-wired-optical-mouse-130?src=catpagev2,Best Buy,$130
Atari Flashback Classic (Nintendo Switch) — $19.99,/f/14038568-atari-flashback-classic-nintendo-switch-19-99?src=catpagev2,,
NETGEAR CM600 (24x8) DOCSIS 3.0 Cable Modem @Staples (AC or less) $60,/f/14039600-netgear-cm600-24x8-docsis-3-0-cable-modem-staples-ac-or-less-60?src=catpagev2,Staples,$60
Tribute Video Montage for Any Occasion: Lifetime Subscription $22.50,/f/14046956-tribute-video-montage-for-any-occasion-lifetime-subscription-22-50?src=catpagev2,,
Stackable Coupon for 10% off Dell Latitude Laptops,/f/14044019-stackable-coupon-for-10-off-dell-latitude-laptops?src=catpagev2,,
ASUS TUF Gaming K5 Keyboard and M5 Mouse Combo $69.99,/f/14049191-asus-tuf-gaming-k5-keyboard-and-m5-mouse-combo-69-99?src=catpagev2,,$69.99
Recoverit Data Recovery Software $36.75,/f/14039282-recoverit-data-recovery-software-36-75?src=catpagev2,,$36.75
Monoprice Dark Matter Curved 34 Inch Ultrawide Monitor $499.99,/f/14044724-monoprice-dark-matter-curved-34-inch-ultrawide-monitor-499-99?src=catpagev2,,$499.99
BitFenix BFA-RGB-60MK30N-RP Alchemy 2.0 RGB LED Magnetic Strip - 60cm - $13 Shipped,/f/14046644-bitfenix-bfa-rgb-60mk30n-rp-alchemy-2-0-rgb-led-magnetic-strip-60cm-13-shipped?src=catpagev2,Newegg,$12.94
Kaspersky.com 20% OFF your home security products with Use code SLICK20 at checkout. $23.99,/f/14043503-kaspersky-com-20-off-your-home-security-products-with-use-code-slick20-at-checkout-23-99?src=catpagev2,,$23.99
SanDisk Extreme Portable SSD 250 GB USB 3.1 Walmart B&M $40,/f/14041472-sandisk-extreme-portable-ssd-250-gb-usb-3-1-walmart-b-m-40?src=catpagev2,Walmart,$40
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory $79.99 + FS,/f/14047898-corsair-vengeance-lpx-16gb-2-x-8gb-288-pin-ddr4-sdram-ddr4-3200-pc4-25600-intel-xmp-2-0-desktop-memory-79-99-fs?src=catpagev2,Newegg,
Apple USB-C Charge Cable (2m) $13.99,/f/14037152-apple-usb-c-charge-cable-2m-13-99?src=catpagev2,Amazon,$13.99
Flame Painter 4: Lifetime Subscription $14.25,/f/14038460-flame-painter-4-lifetime-subscription-14-25?src=catpagev2,,
"HP Laptop 15.6"" touch - AMD Ryzen 7 3700U - 12 GB RAM - 512 GB NVMe SSD - FHD IPS 1920 x 1080 - w/ free shipping - $630",/f/14045924-hp-laptop-15-6-touch-amd-ryzen-7-3700u-12-gb-ram-512-gb-nvme-ssd-fhd-ips-1920-x-1080-w-free-shipping-630?src=catpagev2,HP,$630
eBags Professional Slim Laptop Backpack - $69.99 + Free Shipping,/f/14043374-ebags-professional-slim-laptop-backpack-69-99-free-shipping?src=catpagev2,,$69.99
"Team Group T-FORCE T253TM500G3C302 2.5"" 500GB SATA III 3D NAND Internal RGB Solid State Drive (SSD) for $83.99 + FS",/f/14046737-team-group-t-force-t253tm500g3c302-2-5-500gb-sata-iii-3d-nand-internal-rgb-solid-state-drive-ssd-for-83-99-fs?src=catpagev2,Newegg,$83.99
"Surface Go 2 Bundle  10.5"" 8gb 128gb Pen + Keyboard $650 Costo",/f/14037098-surface-go-2-bundle-10-5-8gb-128gb-pen-keyboard-650-costo?src=catpagev2,,$650
Clearance Routers At Wal-Mart,/f/14043764-clearance-routers-at-wal-mart?src=catpagev2,Walmart,$199
"MSI 27"" Curved 1920x1080 HDMI DP 165Hz 1ms FreeSync LCD Gaming Monitor - Optix G27C4 $139 YMMV",/f/14044250-msi-27-curved-1920x1080-hdmi-dp-165hz-1ms-freesync-lcd-gaming-monitor-optix-g27c4-139-ymmv?src=catpagev2,Walmart,$139
ASUS MAP-AC2200 Lyra AC2200 Tri-Band Whole-Home Mesh Wi-Fi System *RFB* @Newegg $140,/f/14045345-asus-map-ac2200-lyra-ac2200-tri-band-whole-home-mesh-wi-fi-system-rfb-newegg-140?src=catpagev2,Newegg,$140
EVGA CLC 240mm All-In-One RGB LED CPU Liquid Cooler @Newegg (AR) $86,/f/14041598-evga-clc-240mm-all-in-one-rgb-led-cpu-liquid-cooler-newegg-ar-86?src=catpagev2,Newegg,$86
Linksys LAPAC1750C AC1750 Dual-Band Cloud Wireless Access Point $149.99,/f/14030723-linksys-lapac1750c-ac1750-dual-band-cloud-wireless-access-point-149-99?src=catpagev2,,$149.99
